Simulator Program
=================

Uploading Configuration Files

Uploading Meta Data Files

=================
Begin Simulation

Time:  5.719598, OS: Process 0 set in BLOCKED state
Time:  5.729347, OS: System Idle
#
#
#
#
Time:  5.895222, OS: Interrupt by Process 2
#
#
#
#
#Time:  5.903331, OS: Process 2 keyboard IO end
Time:  5.912468, OS: Process 2 set in EXIT state
#
#
#
#
Time:  6.053396, OS: Interrupt by Process 0
#
#
#
#
#Time:  6.060082, OS: Process 0 printer IO end
Time:  6.066442, OS: Process 0 set in READY state
Time:  6.066442, OS: Process 0 selected with 1132 ms remaining
Time:  6.081129, OS: Process 0 set in RUNNING state
Time:  6.088465, OS: Process 0 printer output start
Time:  6.101802, OS: Process 0 set in BLOCKED state
Time:  6.109578, OS: System Idle
#
#
#
#
Time:  6.251633, OS: Interrupt by Process 0
#
#
#
#
#Time:  6.259138, OS: Process 0 printer IO end
Time:  6.269960, OS: Process 0 set in READY state
Time:  6.279607, OS: Process 0 selected with 990 ms remaining
Time:  6.287071, OS: Process 0 set in RUNNING state
Time:  6.296196, OS: Process 0 run operation start
Time:  6.305855, OS: Process 0 run cycle complete
Time:  6.311460, OS: Process 0 set in READY state
Time:  6.322292, OS: Process 0 selected with 984 ms remaining
Time:  6.329514, OS: Process 0 set in RUNNING state
Time:  6.336536, OS: Process 0 run operation start
Time:  6.346550, OS: Process 0 run cycle complete
Time:  6.353094, OS: Process 0 set in READY state
